Abandonment Rate,Flooding Rate,"Cumulative MtCO2e, 2020-2050"
4.4,50,187.8160063
4.4,51,184.2032412
4.4,52,180.5904762
4.4,53,176.9777111
4.4,54,173.364946
4.4,55,169.7521809
4.4,56,166.1394158
4.4,57,162.5266507
4.4,58,158.9138856
4.4,59,155.3011206
4.4,60,151.6883555
4.5,40,229.0332857
4.5,41,225.3384124
4.5,42,221.643539
4.5,43,217.9486656
4.5,44,214.2537922
4.5,45,210.5589188
4.5,46,206.8640455
4.5,47,203.1691721
4.5,48,199.4742987
4.5,49,195.7794253
4.5,50,192.0845519
4.5,51,188.3896785
4.5,52,184.6948052
4.5,53,180.9999318
4.5,54,177.3050584
4.5,55,173.610185
4.5,56,169.9153116
4.5,57,166.2204382
4.5,58,162.5255649
4.5,59,158.8306915
4.5,60,155.1358181
4.6,40,234.1229143
4.6,41,230.3459326
4.6,42,226.568951
4.6,43,222.7919693
4.6,44,219.0149876
4.6,45,215.2380059
4.6,46,211.4610242
4.6,47,207.6840426
4.6,48,203.9070609
4.6,49,200.1300792
4.6,50,196.3530975
4.6,51,192.5761158
4.6,52,188.7991342
4.6,53,185.0221525
4.6,54,181.2451708
4.6,55,177.4681891
4.6,56,173.6912074
4.6,57,169.9142258
4.6,58,166.1372441
4.6,59,162.3602624
4.6,60,158.5832807
4.7,40,239.2125429
4.7,41,235.3534529
4.7,42,231.4943629
4.7,43,227.635273
4.7,44,223.776183
4.7,45,219.917093
4.7,46,216.058003
4.7,47,212.1989131
4.7,48,208.3398231
4.7,49,204.4807331
4.7,50,200.6216431
4.7,51,196.7625531
4.7,52,192.9034632
4.7,53,189.0443732
4.7,54,185.1852832
4.7,55,181.3261932
4.7,56,177.4671033
4.7,57,173.6080133
4.7,58,169.7489233
4.7,59,165.8898333
4.7,60,162.0307433
4.8,40,244.3021715
4.8,41,240.3609732
4.8,42,236.4197749
4.8,43,232.4785766
4.8,44,228.5373784
4.8,45,224.5961801
4.8,46,220.6549818
4.8,47,216.7137835
4.8,48,212.7725853
4.8,49,208.831387
4.8,50,204.8901887
4.8,51,200.9489904
4.8,52,197.0077922
4.8,53,193.0665939
4.8,54,189.1253956
4.8,55,185.1841973
4.8,56,181.2429991
4.8,57,177.3018008
4.8,58,173.3606025
4.8,59,169.4194042
4.8,60,165.478206
4.9,40,249.3918
4.9,41,245.3684935
4.9,42,241.3451869
4.9,43,237.3218803
4.9,44,233.2985737
4.9,45,229.2752672
4.9,46,225.2519606
4.9,47,221.228654
4.9,48,217.2053475
4.9,49,213.1820409
4.9,50,209.1587343
4.9,51,205.1354277
4.9,52,201.1121212
4.9,53,197.0888146
4.9,54,193.065508
4.9,55,189.0422015
4.9,56,185.0188949
4.9,57,180.9955883
4.9,58,176.9722817
4.9,59,172.9489752
4.9,60,168.9256686
5,40,254.4814286
5,41,250.3760137
5,42,246.2705989
5,43,242.165184
5,44,238.0597691
5,45,233.9543543
5,46,229.8489394
5,47,225.7435245
5,48,221.6381097
5,49,217.5326948
5,50,213.4272799
5,51,209.321865
5,52,205.2164502
5,53,201.1110353
5,54,197.0056204
5,55,192.9002056
5,56,188.7947907
5,57,184.6893758
5,58,180.583961
5,59,176.4785461
5,60,172.3731312
5.1,40,259.5710572
5.1,41,255.383534
5.1,42,251.1960108
5.1,43,247.0084877
5.1,44,242.8209645
5.1,45,238.6334413
5.1,46,234.4459182
5.1,47,230.258395
5.1,48,226.0708718
5.1,49,221.8833487
5.1,50,217.6958255
5.1,51,213.5083023
5.1,52,209.3207792
5.1,53,205.133256
5.1,54,200.9457328
5.1,55,196.7582097
5.1,56,192.5706865
5.1,57,188.3831633
5.1,58,184.1956402
5.1,59,180.008117
5.1,60,175.8205938
5.2,40,264.6606858
5.2,41,260.3910543
5.2,42,256.1214228
5.2,43,251.8517914
5.2,44,247.5821599
5.2,45,243.3125284
5.2,46,239.042897
5.2,47,234.7732655
5.2,48,230.503634
5.2,49,226.2340026
5.2,50,221.9643711
5.2,51,217.6947396
5.2,52,213.4251082
5.2,53,209.1554767
5.2,54,204.8858453
5.2,55,200.6162138
5.2,56,196.3465823
5.2,57,192.0769509
5.2,58,187.8073194
5.2,59,183.5376879
5.2,60,179.2680565
5.3,40,269.7503143
5.3,41,265.3985746
5.3,42,261.0468348
5.3,43,256.695095
5.3,44,252.3433553
5.3,45,247.9916155
5.3,46,243.6398758
5.3,47,239.288136
5.3,48,234.9363962
5.3,49,230.5846565
5.3,50,226.2329167
5.3,51,221.8811769
5.3,52,217.5294372
5.3,53,213.1776974
5.3,54,208.8259577
5.3,55,204.4742179
5.3,56,200.1224781
5.3,57,195.7707384
5.3,58,191.4189986
5.3,59,187.0672589
5.3,60,182.7155191
5.4,40,274.8399429
5.4,41,270.4060948
5.4,42,265.9722468
5.4,43,261.5383987
5.4,44,257.1045507
5.4,45,252.6707026
5.4,46,248.2368545
5.4,47,243.8030065
5.4,48,239.3691584
5.4,49,234.9353104
5.4,50,230.5014623
5.4,51,226.0676142
5.4,52,221.6337662
5.4,53,217.1999181
5.4,54,212.7660701
5.4,55,208.332222
5.4,56,203.898374
5.4,57,199.4645259
5.4,58,195.0306778
5.4,59,190.5968298
5.4,60,186.1629817
5.5,40,279.9295715
5.5,41,275.4136151
5.5,42,270.8976588
5.5,43,266.3817024
5.5,44,261.865746
5.5,45,257.3497897
5.5,46,252.8338333
5.5,47,248.317877
5.5,48,243.8019206
5.5,49,239.2859643
5.5,50,234.7700079
5.5,51,230.2540515
5.5,52,225.7380952
5.5,53,221.2221388
5.5,54,216.7061825
5.5,55,212.1902261
5.5,56,207.6742698
5.5,57,203.1583134
5.5,58,198.6423571
5.5,59,194.1264007
5.5,60,189.6104443
5.6,40,285.0192
5.6,41,280.4211354
5.6,42,275.8230707
5.6,43,271.2250061
5.6,44,266.6269414
5.6,45,262.0288768
5.6,46,257.4308121
5.6,47,252.8327475
5.6,48,248.2346828
5.6,49,243.6366182
5.6,50,239.0385535
5.6,51,234.4404889
5.6,52,229.8424242
5.6,53,225.2443595
5.6,54,220.6462949
5.6,55,216.0482302
5.6,56,211.4501656
5.6,57,206.8521009
5.6,58,202.2540363
5.6,59,197.6559716
5.6,60,193.057907
5.7,40,290.1088286
5.7,41,285.4286557
5.7,42,280.7484827
5.7,43,276.0683098
5.7,44,271.3881368
5.7,45,266.7079639
5.7,46,262.0277909
5.7,47,257.347618
5.7,48,252.667445
5.7,49,247.9872721
5.7,50,243.3070991
5.7,51,238.6269262
5.7,52,233.9467532
5.7,53,229.2665802
5.7,54,224.5864073
5.7,55,219.9062343
5.7,56,215.2260614
5.7,57,210.5458884
5.7,58,205.8657155
5.7,59,201.1855425
5.7,60,196.5053696
5.8,40,295.1984572
5.8,41,290.4361759
5.8,42,285.6738947
5.8,43,280.9116134
5.8,44,276.1493322
5.8,45,271.3870509
5.8,46,266.6247697
5.8,47,261.8624884
5.8,48,257.1002072
5.8,49,252.3379259
5.8,50,247.5756447
5.8,51,242.8133635
5.8,52,238.0510822
5.8,53,233.288801
5.8,54,228.5265197
5.8,55,223.7642385
5.8,56,219.0019572
5.8,57,214.239676
5.8,58,209.4773947
5.8,59,204.7151135
5.8,60,199.9528322
5.9,40,300.2880858
5.9,41,295.4436962
5.9,42,290.5993067
5.9,43,285.7549171
5.9,44,280.9105276
5.9,45,276.066138
5.9,46,271.2217485
5.9,47,266.3773589
5.9,48,261.5329694
5.9,49,256.6885798
5.9,50,251.8441903
5.9,51,246.9998008
5.9,52,242.1554112
5.9,53,237.3110217
5.9,54,232.4666321
5.9,55,227.6222426
5.9,56,222.777853
5.9,57,217.9334635
5.9,58,213.0890739
5.9,59,208.2446844
5.9,60,203.4002948
6,40,305.3777143
6,41,300.4512165
6,42,295.5247186
6,43,290.5982208
6,44,285.671723
6,45,280.7452251
6,46,275.8187273
6,47,270.8922294
6,48,265.9657316
6,49,261.0392337
6,50,256.1127359
6,51,251.1862381
6,52,246.2597402
6,53,241.3332424
6,54,236.4067445
6,55,231.4802467
6,56,226.5537488
6,57,221.627251
6,58,216.7007532
6,59,211.7742553
6,60,206.8477575
6.1,40,310.4673429
6.1,41,305.4587368
6.1,42,300.4501306
6.1,43,295.4415245
6.1,44,290.4329183
6.1,45,285.4243122
6.1,46,280.4157061
6.1,47,275.4070999
6.1,48,270.3984938
6.1,49,265.3898876
6.1,50,260.3812815
6.1,51,255.3726754
6.1,52,250.3640692
6.1,53,245.3554631
6.1,54,240.3468569
6.1,55,235.3382508
6.1,56,230.3296447
6.1,57,225.3210385
6.1,58,220.3124324
6.1,59,215.3038262
6.1,60,210.2952201
6.2,40,315.5569715
6.2,41,310.466257
6.2,42,305.3755426
6.2,43,300.2848282
6.2,44,295.1941137
6.2,45,290.1033993
6.2,46,285.0126848
6.2,47,279.9219704
6.2,48,274.831256
6.2,49,269.7405415
6.2,50,264.6498271
6.2,51,259.5591127
6.2,52,254.4683982
6.2,53,249.3776838
6.2,54,244.2869693
6.2,55,239.1962549
6.2,56,234.1055405
6.2,57,229.014826
